Zero_Return_Penalty_Param,Return Mean,Neg_Return_Penalty_Param,Return Variance
0,2.29361,0,531.083
0,0.0310075,1,0.678858
0,0.0155134,2,0.0371514
0,0.00317496,3,0.0127104
0,-0.000713366,4,0.000152158
0,0.00395896,5,0.00468633
0,0.0184178,6,0.0552659
0,-0.000753872,7,0.0247878
0,0.0232617,8,0.0808417
0,0.0148976,9,0.0504582
0,-0.0185424,10,0.0557034
0,-0.0013524,11,0.0467492
0,-0.00731763,12,0.0225653
0,-0.0127685,13,0.0275433
0,0.00328257,14,0.0032218
0,0,15,0
0,-0.00219884,16,0.0357824
0,-0.00307904,17,0.134836
0,0.00483694,18,0.0423998
0,0.0124556,19,0.0463874
0,-0.0217308,20,0.0964091
0,0.0071217,21,0.0108059
0,-0.00962308,22,0.0233121
0,-0.0063591,23,0.014239
0,-0.00389086,24,0.0045265
0,0,25,0
0,-0.00101745,26,0.0668883
0,0.0119013,27,0.0423507
0,0.00454162,28,0.00616727
0,0.0106625,29,0.0339929
0,0.0163952,30,0.0431934
0,0,31,0
0,-0.00215776,32,0.0712034
0,-0.0165433,33,0.0470851
0,-0.000120533,34,4.3439e-06
0,0.00106029,35,0.000336139
0,0.0195082,36,0.0470429
0,-0.00646433,37,0.0602776
0,0,38,0
0,0.0073969,39,0.0163595
0,0.00332608,40,0.00807269
0,0.0108789,41,0.035387
0,0.000150964,42,0.126936
0,0.00312201,43,0.00291434
0,0.0374173,44,0.106011
0,0.000504483,45,0.063531
0,-0.00674589,46,0.0548062
0,-0.0259402,47,0.0689667
0,-0.0248188,48,0.140845
0,0.00665934,49,0.0132597
0,-0.0086684,50,0.0105712
0,0.00953185,51,0.0360005
0,0.00896305,52,0.0161939
0,-0.0116394,53,0.103407
0,-0.00247945,54,0.00183816
0,-0.0118905,55,0.0675217
0,-0.00694688,56,0.0231978
0,0.0121056,57,0.0330087
0,0.0123147,58,0.0387282
0,-0.0117999,59,0.0208762
0,0.0027012,60,0.0363012
0,0,61,0
